hip_id,ra,dec,mag
25,0.079500,-44.290562,6.28
34,0.099570,26.918108,6.43
43,0.128895,59.559677,6.18
50,0.142995,-53.097713,6.49
63,0.181785,45.253334,6.36
88,0.269115,-48.809875,5.71
106,0.330195,49.981560,6.22
107,0.333825,-50.337372,5.53
122,0.399240,-77.065727,4.78
124,0.404235,61.222801,5.58
128,0.413955,73.611847,6.50
137,0.432705,42.367146,6.25
145,0.456030,-3.027504,5.13
154,0.490080,-6.014072,4.37
171,0.542085,27.082256,5.80
183,0.583005,-29.720413,5.04
186,0.600690,8.956824,6.33
194,0.623760,8.485463,5.70
207,0.650355,66.098969,5.87
238,0.739515,-20.045881,6.25
253,0.782715,-24.145145,6.46
274,0.857145,63.640518,6.24
301,0.934950,-17.335987,4.55
302,0.965130,66.712181,6.31
330,1.056930,62.287663,5.90
343,1.082475,-16.529036,5.78
345,1.084650,-29.268822,6.38
355,1.125495,-10.509523,4.99
365,1.152450,42.092529,6.11
377,1.171965,-71.436890,5.59
379,1.174560,67.166443,5.68
394,1.223595,34.659798,6.09
399,1.233300,26.648764,6.25
410,1.254930,27.674784,6.47
417,1.265925,-0.503035,6.32
418,1.275585,61.313969,5.80
443,1.333920,-5.707618,4.61
476,1.424835,13.396266,5.55
518,1.565340,58.436733,5.98
522,1.579155,-49.075191,5.70
531,1.610550,64.196167,5.57
544,1.653135,29.021502,6.07
560,1.708665,-23.107540,6.19
602,1.826115,-17.386990,6.20
635,1.933800,-2.548679,6.43
636,1.945395,-22.508560,5.93
655,2.014545,-33.529327,5.67
664,2.050395,-2.447711,6.18
671,2.073060,-8.824112,5.99
677,2.096865,29.090431,2.07
695,2.136930,63.204041,6.41
696,2.139570,-17.578156,6.11
699,2.170650,36.627125,6.21
716,2.217210,25.462984,6.24
728,2.250675,28.247543,6.47
729,2.260080,18.211964,5.57
730,2.259900,-54.001930,6.32
746,2.293305,59.149780,2.28
760,2.332875,79.714546,6.01
761,2.337765,-27.987928,5.42
765,2.352540,-45.747425,3.88
798,2.467110,-62.296795,6.34
813,2.509170,11.145813,5.54
814,2.509395,-82.224045,5.29
840,2.578620,-5.248588,5.84
841,2.580180,46.072273,5.01
873,2.678475,-12.579897,5.84
910,2.816085,-15.467977,4.89
930,2.893410,-27.799738,5.41
950,2.933280,-35.133118,5.24
967,2.996115,48.152397,6.18
983,3.041595,-17.938278,5.29
1009,3.142260,44.707195,6.50
1067,3.308970,15.183596,2.83
1074,3.331485,-84.993980,5.78
1076,3.349680,26.987545,6.24
1086,3.378600,41.035370,5.71
1096,3.426015,-26.022345,5.94
1099,3.434910,-26.284960,6.14
1123,3.509505,33.206039,6.22
1158,3.615120,-7.780532,5.13
1168,3.650670,20.206701,4.79
1170,3.660075,-18.932865,4.44
1191,3.727140,-9.569571,5.77
1193,3.732900,22.284225,6.25
1195,3.742725,-34.904224,6.17
1196,3.745155,8.820962,6.02
1208,3.778950,31.535725,6.34
1215,3.794010,27.283440,6.35
1269,3.978585,61.000172,6.43
1268,3.978855,-75.911613,6.49
1288,4.036890,-31.446394,5.66
1296,4.057905,76.950752,6.35
1302,4.089675,43.595051,6.12
1319,4.141830,8.240154,6.12
1331,4.176435,-20.210060,6.50
1354,4.237695,61.533184,5.74
1366,4.272945,38.681637,4.61
1372,4.287675,47.947407,5.86
1402,4.386255,-19.051092,6.46
1415,4.429425,51.433090,6.11
1421,4.448745,1.688727,6.19
1465,4.571865,11.206214,6.07
1473,4.581945,36.785225,4.51
1493,4.659375,31.517227,5.88
1499,4.674435,-8.053001,6.47
1501,4.675680,43.791142,6.10
1502,4.677300,-43.235573,6.33
1562,4.856985,-8.823921,3.56
1575,4.923180,40.729462,6.35
1599,5.012130,-64.874794,4.23
1630,5.101665,30.935614,5.89
